Country;Currency;Technology;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
France;Euro (2022 prices and exchange rates);Fossil fuels;..;..;..;..;..;..;..;..;..;..;..;77,479;73,357;64,84;63,687;61,804;60,118;55,322;53,11;50,496;50,696;49,33;48,212;47,751;40,787;40,488;42,256;45,979;288,866;275,672;233,241;220,465;214,032;204;196,137;246,745;233,606;148,896;141,345;145,399;138,172;130,941;87,519;64,345;52,639;42,439;52,744;55,444;61,039;..
France;Euro (2022 prices and exchange rates);Renewables;..;..;..;..;..;..;..;..;..;..;..;38,487;28,049;16,316;12,483;10,704;11,133;10,221;9,955;7,314;6,909;6,867;6,486;3,994;5,378;17,567;18,191;24,486;62,795;55,427;64,809;85,931;103,626;131,435;165,971;267,011;205,481;253,536;246,591;283,725;273,112;270,743;241,936;196,616;197,441;192,992;203,561;213,224;291,409;..
France;Euro (2022 prices and exchange rates);Nuclear;..;..;..;..;861,515;949,718;961,116;969,986;960,497;959,431;986,401;997,945;872,469;834,495;739,288;675,896;622,348;626,822;583,285;593,498;556,098;665,059;630,482;637,257;689,049;792,841;724,582;499,236;775,337;780,115;769,419;739,666;703,437;707,906;730,495;712,03;674,72;749,188;833,57;833,823;761,987;731,424;670,246;711,835;722,101;807,483;794,57;991,195;914,77;..
France;Euro (2022 prices and exchange rates);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;54,023;64,808;65,042;129,256;136,356;149,294;145,577;126,966;94,417;87,062;67,476;81,959;67,272;60,021;56,023;53,812;54,594;58,102;70,436;79,232;1532,061;..
France;Euro (2022 prices and exchange rates);Other power and storage technologies;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,97;2,721;2,517;8,791;11,135;6,392;7,311;29,798;60,363;78,881;46,403;44,732;49,983;65,334;82,564;81,563;66,981;72,006;82,247;76,893;89,128;143,963;104,293;..
France;Euro (2022 prices and exchange rates);Other cross-cutting technologies/research;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,391;12,243;19,232;21,666;14,053;12,242;10,147;11,866;14,902;22,102;92,76;96,027;71,204;94,381;91,948;78,283;136,256;140,632;134,177;122,744;147,691;141,403;170,23;..
France;Euro (2022 prices and exchange rates);Unallocated;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
France;Euro (2022 prices and exchange rates);Total Budget;..;..;..;..;..;..;..;..;..;..;..;1147,13;1003,837;937,579;835,1;770,16;725,968;716,929;670,053;666,841;624,293;731,587;694,539;695,057;743,756;867,177;812,876;600,716;1310,63;1310,388;1269,098;1317,76;1330,137;1419,065;1536,871;1723,286;1612,502;1733,434;1721,827;1777,697;1694,323;1608,445;1519,016;1464,757;1503,098;1519,632;1677,053;1878,601;3468,913;..
Germany;National currency (nominal);Energy efficiency;5,624;45,505;35,279;15,85;38,27;31,24;49,084;58,236;40,29;31,956;19,071;17,844;18,202;10,942;14,316;13,805;13,651;14,265;10,584;10,379;12,199;14,27;20,912;13,703;12,527;11,558;8,999;23,6;15,5;17,2;20,558;18,447;20,702;24,33;40,449;101,705;128,318;131,244;154,413;182,439;116,055;118,922;103,316;132,935;140,842;206,696;199,288;209,211;182,981;..
Germany;National currency (nominal);Fossil fuels;47,652;46,016;51,64;77,716;125,011;162,744;150,831;167,908;172,97;149,757;147,968;125,113;122,863;116,37;97,554;75,262;72,297;53,277;41,721;25,616;19,087;12,833;3,323;1,329;1,227;9,948;9,152;17,5;13,5;8;9,845;11,503;12,902;20,219;33,401;32,043;26,482;33,9;27,545;32,473;30,961;31,19;39,706;45,996;46,495;19,573;31,631;32,869;45,094;..
Germany;National currency (nominal);Renewables;0,562;5,42;9,817;15,339;27,098;61,406;67,491;73,984;117,597;58,287;72,399;66,008;42,539;60,946;65,854;66,161;81,091;92,237;102,156;115,603;78,274;70,492;88,351;69,689;78,943;69,874;73,115;70,5;75,5;69,3;56,7;91,395;88,389;91,516;118,633;183,673;189,693;243,314;238,783;255,75;190,535;207,041;188,186;236,059;207,551;245,57;242,583;277,518;245,395;..
Germany;National currency (nominal);Nuclear;428,463;507,713;512,826;565,489;555,774;607,517;652,408;753,695;1091,455;627,151;641,365;647,96;453,056;312,297;278,092;245,625;261,884;274,819;199,864;195,723;169,959;156,844;150,422;145,565;157,989;81,98;145,411;126,6;117,4;139,5;140,065;137,284;140,461;141,733;156,916;213,059;202,574;221,169;207,79;216,969;208,372;214,128;211,069;213,215;212,979;218,578;225,713;138,571;152,913;..
Germany;National currency (nominal);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;26,22;22,1;25,553;30,998;24,111;23,875;25,588;27,6;18,837;26,83;22,562;19,74;15,411;21,92;27,579;45,261;60,177;156,012;307,22;..
Germany;National currency (nominal);Other power and storage technologies;0;0;0;30,678;45,326;40,494;41,926;11,811;0;6,902;9,459;8,896;14,521;13,498;5,113;6,596;7,158;5,113;4,09;2,301;2,827;1,953;11,453;20,043;21,423;7,701;21,014;41,7;34,7;33,1;4,947;2,359;3,331;3,309;2,179;18,759;27,438;39,6;36,369;68,59;70,349;87,845;109,236;135,53;111,837;128,435;114,23;127,102;113,103;..
Germany;National currency (nominal);Other cross-cutting technologies/research;0;5,624;0,102;10,226;7,669;3,068;4,602;7,721;2,096;20,349;3,63;2,505;4,755;0;0,102;1,125;1,585;1,534;4,653;16,412;17,67;5,783;10,533;8,896;7,976;6,626;10,891;12,6;7,9;110,5;111,278;108,708;104,342;102,309;101,555;23,863;18,443;17,434;21,918;25,41;35,081;40,565;65,167;64,345;55,548;53,155;49,132;86,598;120,863;..
Germany;National currency (nominal);Unallocated;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173,475;189,426;202,029;217,28;251,919;231,157;316,665;326,552;318,791;..
Germany;National currency (nominal);Total Budget;482,302;610,278;609,664;715,297;799,149;906,469;966,342;1073,355;1424,408;894,403;893,892;868,327;655,936;514,053;461,032;408,573;437,666;441,245;363,068;366,034;300,016;262,175;284,994;259,225;280,086;187,687;268,582;292,5;264,5;377,6;369,614;391,796;395,68;414,414;477,244;596,977;618,536;714,261;705,655;808,461;847,39;908,855;934,12;1067,28;1054,751;1148,425;1239,419;1354,432;1486,36;..
Germany;National currency (2022 prices);Energy efficiency;18,177;139,057;104,317;45,49;106,049;83,025;123,578;140,323;92,836;71,224;41,639;37,959;37,647;22,289;28,716;27,085;25,912;23,606;16,634;15,744;18,091;20,777;30,312;19,771;17,951;16,505;12,902;33,474;21,64;23,74;28,062;25,049;28,035;32,383;53,069;131,414;164,924;167,036;193,769;224,464;140,018;141,039;120,876;153,053;159,08;228,79;216,243;220,541;182,981;..
Germany;National currency (2022 prices);Fossil fuels;154,009;140,618;152,695;223,048;346,413;432,518;379,745;404,584;398,557;333,781;323,069;266,151;254,115;237,046;195,679;147,664;137,231;88,165;65,569;38,856;28,305;18,685;4,817;1,917;1,758;14,206;13,122;24,822;18,847;11,042;13,439;15,62;17,472;26,911;43,822;41,403;34,037;43,145;34,565;39,953;37,354;36,991;46,455;52,957;52,516;21,665;34,322;34,649;45,094;..
Germany;National currency (2022 prices);Renewables;1,816;16,563;29,028;44,024;75,09;163,196;169,921;178,269;270,967;129,911;158,074;140,418;87,982;124,147;132,094;129,808;153,923;152,638;160,55;175,356;116,078;102,636;128,066;100,547;113,123;99,78;104,829;99,996;105,405;95,649;77,397;124,103;119,696;121,806;155,646;237,325;243,808;309,67;299,642;314,662;229,876;245,546;220,171;271,783;234,428;271,819;263,222;292,548;245,395;..
Germany;National currency (2022 prices);Nuclear;1384,775;1551,496;1516,38;1622,978;1540,084;1614,573;1642,56;1816,07;2514,927;1397,805;1400,337;1378,397;937,045;636,15;557,812;481,916;497,097;454,783;314,109;296,888;252,043;228,365;218,038;210,021;226,394;117,067;208,483;179,567;163,902;192,541;191,193;186,414;190,212;188,643;205,873;275,295;260,364;281,485;260,75;266,948;251,396;253,951;246,943;245,482;240,559;241,942;244,916;146,076;152,913;..
Germany;National currency (2022 prices);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;35,791;30,009;34,604;41,258;31,634;30,849;32,888;35,127;23,638;33,01;27,221;23,411;18,03;25,237;31,15;50,099;65,297;164,461;307,22;..
Germany;National currency (2022 prices);Other power and storage technologies;0;0;0;88,047;125,601;107,619;105,557;28,459;0;15,383;20,653;18,924;30,033;27,495;10,256;12,941;13,587;8,461;6,428;3,49;4,192;2,844;16,601;28,918;30,699;10,997;30,129;59,146;48,445;45,685;6,753;3,203;4,511;4,404;2,859;24,239;35,265;50,4;45,638;84,39;84,875;104,182;127,802;156,041;126,319;142,163;123,949;133,986;113,103;..
Germany;National currency (2022 prices);Other cross-cutting technologies/research;0;17,186;0,302;29,349;21,251;8,154;11,586;18,604;4,83;45,354;7,926;5,329;9,835;0;0,205;2,207;3,009;2,539;7,313;24,895;26,204;8,42;15,268;12,835;11,429;9,462;15,615;17,872;11,029;152,514;151,898;147,611;141,3;136,171;133,24;30,834;23,704;22,189;27,504;31,263;42,324;48,109;76,244;74,083;62,741;58,837;53,312;91,288;120,863;..
Germany;National currency (2022 prices);Unallocated;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209,294;224,655;236,366;250,162;284,542;255,865;343,606;344,237;318,791;..
Germany;National currency (2022 prices);Total Budget;1558,78;1864,919;1802,722;2052,934;2214,491;2409,085;2432,948;2586,308;3282,116;1993,461;1951,697;1847,181;1356,656;1047,128;924,763;801,62;830,758;730,192;570,602;555,229;444,914;381,727;413,102;374,01;401,356;268,016;385,079;414,876;369,268;521,171;504,534;532,008;535,828;551,575;626,142;771,358;794,991;909,051;885,507;994,691;1022,358;1077,88;1092,887;1228,799;1191,337;1271,181;1344,867;1427,785;1486,36;..
Germany;USD (2022 prices and exchange rates);Energy efficiency;19,115;146,24;109,706;47,84;111,527;87,314;129,962;147,572;97,632;74,903;43,79;39,92;39,591;23,44;30,199;28,485;27,25;24,826;17,493;16,557;19,025;21,85;31,878;20,792;18,878;17,357;13,569;35,203;22,757;24,966;29,512;26,343;29,483;34,055;55,81;138,202;173,444;175,665;203,778;236,059;147,251;148,324;127,12;160,959;167,298;240,609;227,414;231,934;192,433;..
Germany;USD (2022 prices and exchange rates);Fossil fuels;161,965;147,882;160,583;234,57;364,308;454,861;399,362;425,483;419,145;351,023;339,758;279,9;267,241;249,291;205,787;155,292;144,32;92,72;68,956;40,864;29,768;19,65;5,066;2,017;1,849;14,94;13,8;26,104;19,821;11,612;14,133;16,426;18,374;28,301;46,086;43,542;35,795;45,374;36,351;42,017;39,283;38,901;48,854;55,692;55,229;22,784;36,095;36,439;47,423;..
Germany;USD (2022 prices and exchange rates);Renewables;1,91;17,418;30,527;46,298;78,969;171,626;178,699;187,477;284,964;136,622;166,24;147,672;92,527;130,56;138,917;136,513;161,875;160,523;168,843;184,414;122,074;107,938;134,681;105,741;118,967;104,934;110,244;105,161;110,85;100,59;81,395;130,513;125,879;128,098;163,686;249,585;256,403;325,666;315,121;330,917;241,751;258,23;231,544;285,823;246,538;285,861;276,819;307,66;258,071;..
Germany;USD (2022 prices and exchange rates);Nuclear;1456,309;1631,642;1594,713;1706,817;1619,641;1697,977;1727,41;1909,883;2644,841;1470,012;1472,675;1449,601;985,45;669,012;586,627;506,81;522,775;478,276;330,335;312,224;265,063;240,162;229,301;220,87;238,089;123,115;219,253;188,843;172,369;202,487;201,069;196,043;200,038;198,388;216,508;289,516;273,814;296,026;274,22;280,738;264,383;267,069;259,7;258,163;252,986;254,44;257,568;153,622;160,812;..
Germany;USD (2022 prices and exchange rates);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;37,64;31,559;36,391;43,389;33,268;32,443;34,587;36,942;24,859;34,716;28,627;24,621;18,962;26,541;32,76;52,687;68,67;172,957;323,09;..
Germany;USD (2022 prices and exchange rates);Other power and storage technologies;0;0;0;92,596;132,089;113,179;111,009;29,929;0;16,178;21,719;19,902;31,585;28,916;10,786;13,61;14,289;8,898;6,76;3,671;4,409;2,99;17,459;30,412;32,284;11,565;31,685;62,202;50,947;48,045;7,102;3,369;4,744;4,632;3,007;25,491;37,087;53,003;47,996;88,749;89,259;109,564;134,404;164,101;132,845;149,507;130,351;140,907;118,946;..
Germany;USD (2022 prices and exchange rates);Other cross-cutting technologies/research;0;18,074;0,317;30,865;22,349;8,575;12,185;19,565;5,079;47,697;8,335;5,604;10,343;0;0,215;2,321;3,164;2,67;7,69;26,181;27,558;8,855;16,056;13,498;12,02;9,951;16,422;18,795;11,599;160,393;159,744;155,237;148,599;143,205;140,122;32,426;24,929;23,335;28,925;32,878;44,511;50,594;80,182;77,91;65,982;61,876;56,066;96,004;127,106;..
Germany;USD (2022 prices and exchange rates);Unallocated;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220,105;236,26;248,576;263,085;299,24;269,083;361,356;362,02;335,259;..
Germany;USD (2022 prices and exchange rates);Total Budget;1639,303;1961,256;1895,846;2158,983;2328,886;2533,532;2558,628;2719,91;3451,661;2096,438;2052,517;1942,601;1426,738;1101,22;972,534;843,029;873,673;767,912;600,078;583,911;467,897;401,446;434,441;393,33;422,089;281,861;404,971;436,308;388,343;548,093;530,597;559,49;563,508;580,068;658,486;811,204;836,059;956,011;931,25;1046,074;1075,17;1133,561;1149,343;1292,275;1252,878;1336,846;1414,339;1501,54;1563,142;..
Germany;USD (2022 prices and PPP);Energy efficiency;25,175;192,599;144,483;63,006;146,882;114,993;171,161;194,353;128,582;98,648;57,672;52,575;52,142;30,871;39,773;37,514;35,889;32,696;23,039;21,806;25,056;28,777;41,984;27,383;24,863;22,86;17,87;46,363;29,972;32,881;38,867;34,693;38,829;44,851;73,503;182,013;228,427;231,352;268,378;310,892;193,931;195,344;167,418;211,985;220,333;316,883;299,506;305,459;253,436;..
Germany;USD (2022 prices and PPP);Fossil fuels;213,309;194,762;211,489;308,931;479,797;599,055;525,963;560,365;552,018;462,3;447,464;368,631;351,959;328,319;271,024;204,521;190,071;122,112;90,816;53,818;39,204;25,879;6,671;2,656;2,435;19,675;18,174;34,379;26,104;15,293;18,613;21,634;24,199;37,273;60,695;57,345;47,142;59,758;47,875;55,337;51,737;51,234;64,342;73,347;72,737;30,007;47,538;47,99;62,457;..
Germany;USD (2022 prices and PPP);Renewables;2,516;22,94;40,205;60,975;104,003;226,034;235,348;246,909;375,3;179,932;218,939;194,485;121,859;171,949;182,955;179,789;213,19;211,41;222,368;242,875;160,772;142,156;177,376;139,262;156,68;138,199;145,192;138,498;145,991;132,478;107,198;171,887;165,784;168,706;215,576;328,705;337,685;428,905;415,017;435,82;318,388;340,091;304,946;376,431;324,693;376,481;364,573;405,191;339,882;..
Germany;USD (2022 prices and PPP);Nuclear;1917,971;2148,886;2100,25;2247,892;2133,08;2236,25;2275,014;2515,332;3483,278;1936,018;1939,525;1909,137;1297,846;881,094;772,593;667,474;688,5;629,893;435,054;411,202;349,091;316,295;301,992;290,888;313,565;162,143;288,757;248,708;227,011;266,677;264,81;258,191;263,451;261,279;285,143;381,295;360,615;389,869;361,15;369,734;348,194;351,732;342,027;340,003;333,184;335,1;339,219;202,321;211,791;..
Germany;USD (2022 prices and PPP);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;49,572;41,564;47,928;57,143;43,814;42,727;45,551;48,652;32,74;45,721;37,702;32,425;24,973;34,955;43,145;69,389;90,439;227,786;425,512;..
Germany;USD (2022 prices and PPP);Other power and storage technologies;0;0;0;121,949;173,963;149,057;146,2;39,417;0;21,307;28,605;26,211;41,598;38,082;14,205;17,924;18,819;11,719;8,903;4,834;5,807;3,938;22,993;40,053;42,519;15,231;41,73;81,92;67,098;63,276;9,353;4,437;6,248;6,1;3,96;33,571;48,844;69,805;63,211;116,883;117,555;144,296;177,011;216,123;174,958;196,902;171,674;185,576;156,652;..
Germany;USD (2022 prices and PPP);Other cross-cutting technologies/research;0;23,803;0,418;40,65;29,434;11,293;16,048;25,768;6,689;62,817;10,977;7,381;13,621;0;0,283;3,057;4,167;3,516;10,128;34,481;36,294;11,662;21,146;17,777;15,83;13,105;21,627;24,753;15,276;211,238;210,385;204,448;195,706;188,602;184,542;42,706;32,832;30,732;38,095;43,301;58,621;66,633;105,601;102,608;86,899;81,491;73,839;126,438;167,4;..
Germany;USD (2022 prices and PPP);Unallocated;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289,881;311,156;327,377;346,485;394,102;354,384;475,909;476,783;441,539;..
Germany;USD (2022 prices and PPP);Total Budget;2158,976;2582,991;2496,844;2843,399;3067,162;3336,683;3369,734;3582,144;4545,867;2761,026;2703,182;2558,422;1879,025;1450,315;1280,836;1110,277;1150,635;1011,346;790,308;769,015;616,224;528,708;572,163;518,019;555,894;371,214;533,351;574,621;511,452;721,843;698,8;736,853;742,145;763,954;867,232;1068,363;1101,096;1259,074;1226,464;1377,689;1416,008;1492,909;1513,695;1701,937;1650,051;1760,638;1862,697;1977,541;2058,67;..
Germany;Euro (2022 prices and exchange rates);Energy efficiency;18,177;139,057;104,317;45,49;106,049;83,025;123,578;140,323;92,836;71,224;41,639;37,959;37,647;22,289;28,716;27,085;25,912;23,606;16,634;15,744;18,091;20,777;30,312;19,771;17,951;16,505;12,902;33,474;21,64;23,74;28,062;25,049;28,035;32,383;53,069;131,414;164,924;167,036;193,769;224,464;140,018;141,039;120,876;153,053;159,08;228,79;216,243;220,541;182,981;..
Germany;Euro (2022 prices and exchange rates);Fossil fuels;154,009;140,618;152,695;223,048;346,413;432,518;379,745;404,584;398,557;333,781;323,069;266,151;254,115;237,046;195,679;147,664;137,231;88,165;65,569;38,856;28,305;18,685;4,817;1,917;1,758;14,206;13,122;24,822;18,847;11,042;13,439;15,62;17,472;26,911;43,822;41,403;34,037;43,145;34,565;39,953;37,354;36,991;46,455;52,957;52,516;21,665;34,322;34,649;45,094;..
Germany;Euro (2022 prices and exchange rates);Renewables;1,816;16,563;29,028;44,024;75,09;163,196;169,921;178,269;270,967;129,911;158,074;140,418;87,982;124,147;132,094;129,808;153,923;152,638;160,55;175,356;116,078;102,636;128,066;100,547;113,123;99,78;104,829;99,996;105,405;95,649;77,397;124,103;119,696;121,806;155,646;237,325;243,808;309,67;299,642;314,662;229,876;245,546;220,171;271,783;234,428;271,819;263,222;292,548;245,395;..
Germany;Euro (2022 prices and exchange rates);Nuclear;1384,775;1551,496;1516,38;1622,978;1540,084;1614,573;1642,56;1816,07;2514,927;1397,805;1400,337;1378,397;937,045;636,15;557,812;481,916;497,097;454,783;314,109;296,888;252,043;228,365;218,038;210,021;226,394;117,067;208,483;179,567;163,902;192,541;191,193;186,414;190,212;188,643;205,873;275,295;260,364;281,485;260,75;266,948;251,396;253,951;246,943;245,482;240,559;241,942;244,916;146,076;152,913;..
Germany;Euro (2022 prices and exchange rates);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;35,791;30,009;34,604;41,258;31,634;30,849;32,888;35,127;23,638;33,01;27,221;23,411;18,03;25,237;31,15;50,099;65,297;164,461;307,22;..
Germany;Euro (2022 prices and exchange rates);Other power and storage technologies;0;0;0;88,047;125,601;107,619;105,557;28,459;0;15,383;20,653;18,924;30,033;27,495;10,256;12,941;13,587;8,461;6,428;3,49;4,192;2,844;16,601;28,918;30,699;10,997;30,129;59,146;48,445;45,685;6,753;3,203;4,511;4,404;2,859;24,239;35,265;50,4;45,638;84,39;84,875;104,182;127,802;156,041;126,319;142,163;123,949;133,986;113,103;..
Germany;Euro (2022 prices and exchange rates);Other cross-cutting technologies/research;0;17,186;0,302;29,349;21,251;8,154;11,586;18,604;4,83;45,354;7,926;5,329;9,835;0;0,205;2,207;3,009;2,539;7,313;24,895;26,204;8,42;15,268;12,835;11,429;9,462;15,615;17,872;11,029;152,514;151,898;147,611;141,3;136,171;133,24;30,834;23,704;22,189;27,504;31,263;42,324;48,109;76,244;74,083;62,741;58,837;53,312;91,288;120,863;..
Germany;Euro (2022 prices and exchange rates);Unallocated;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209,294;224,655;236,366;250,162;284,542;255,865;343,606;344,237;318,791;..
Germany;Euro (2022 prices and exchange rates);Total Budget;1558,78;1864,919;1802,722;2052,934;2214,491;2409,085;2432,948;2586,308;3282,116;1993,461;1951,697;1847,181;1356,656;1047,128;924,763;801,62;830,758;730,192;570,602;555,229;444,914;381,727;413,102;374,01;401,356;268,016;385,079;414,876;369,268;521,171;504,534;532,008;535,828;551,575;626,142;771,358;794,991;909,051;885,507;994,691;1022,358;1077,88;1092,887;1228,799;1191,337;1271,181;1344,867;1427,785;1486,36;..
Greece;National currency (nominal);Energy efficiency;..;..;..;0;0,004;0,054;0,016;0,018;0,151;0,137;0,023;0,091;0;0,464;0,487;0,483;1,236;0,581;0,126;0,135;0,896;1,16;1,607;4,299;..;..;0,489;0,528;1,461;..;..;2;1,7;..;..;..;0,611;1,104;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (nominal);Fossil fuels;..;..;..;0,012;0,079;0,175;0,82;1,142;0,253;0,318;0,696;0,951;0,058;0,079;0,706;0,698;0,787;0,701;0,361;0,273;0,681;1,346;1,483;3,284;..;..;0,43;0,464;0,511;..;..;0,6;1,1;..;..;..;0,007;0,704;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (nominal);Renewables;..;..;..;0,039;0,061;0,226;1,034;1,528;0,507;0,585;1;1,793;3,335;1,843;5,272;2,825;1,679;2,045;2,515;2,048;1,225;2,398;2,401;5,392;..;..;1,749;2,682;3,263;..;..;5,8;6,8;..;..;..;2,436;2,14;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (nominal);Nuclear;..;..;..;0,04;0,1;0,126;0,169;0,316;0,274;0,308;0,626;0,866;0,406;0,562;0,059;0,167;0,085;0,07;0,012;0,015;0,114;0,189;0,219;0,194;..;..;0,917;0,989;1,089;..;..;0,01;0,1;..;..;..;0;0;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (nominal);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;..;..;..;0,609;0,518;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (nominal);Other power and storage technologies;..;..;..;0,002;0,003;0,006;2,908;1,969;0,097;0,104;0,05;0,065;0,083;0,114;0,224;0,21;0,173;0,417;0,032;0,009;0,061;0,07;0,081;0,178;..;..;2,121;2,292;2,521;..;..;2,2;2,1;..;..;..;0,754;0,28;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (nominal);Other cross-cutting technologies/research;..;..;..;0;0,001;0,001;0;0;0,144;0,134;0,004;0,006;0,12;0,415;0,123;0,153;0,405;0,813;0,499;0,822;0,366;0,977;1,724;0,926;..;..;0;0;0;..;..;2,7;2,4;..;..;..;2,913;1,589;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (nominal);Unallocated;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;0;0;0;..;..;0;0;..;..;..;0;0;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (nominal);Total Budget;..;..;..;0,093;0,248;0,588;4,948;4,972;1,426;1,587;2,399;3,771;4,001;3,477;6,871;4,538;4,364;4,628;3,545;3,302;3,342;6,139;7,514;14,273;..;..;5,706;6,955;8,845;..;..;13,31;14,2;14,597;16,25;15,77;7,329;6,336;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (2022 prices);Energy efficiency;..;..;..;0;0,116;1,302;0,325;0,301;1,976;1,491;0,204;0,683;0;2,546;2,285;1,983;4,211;1,645;0,311;0,292;1,743;2,053;2,645;6,631;..;..;0,682;0,712;1,901;..;..;2,389;1,964;..;..;..;0,638;1,143;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (2022 prices);Fossil fuels;..;..;..;0,397;2,291;4,22;16,643;19,08;3,311;3,46;6,18;7,133;0,368;0,433;3,312;2,866;2,681;1,984;0,892;0,59;1,325;2,382;2,441;5,066;..;..;0,6;0,625;0,665;..;..;0,717;1,271;..;..;..;0,007;0,729;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (2022 prices);Renewables;..;..;..;1,291;1,769;5,45;20,986;25,529;6,636;6,366;8,88;13,449;21,154;10,112;24,734;11,598;5,721;5,789;6,211;4,423;2,383;4,243;3,951;8,317;..;..;2,439;3,615;4,246;..;..;6,928;7,858;..;..;..;2,545;2,217;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (2022 prices);Nuclear;..;..;..;1,324;2,9;3,038;3,43;5,28;3,586;3,352;5,559;6,496;2,575;3,083;0,277;0,686;0,29;0,198;0,03;0,032;0,222;0,334;0,36;0,299;..;..;1,279;1,333;1,417;..;..;0,012;0,116;..;..;..;0;0;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (2022 prices);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;..;..;..;0,636;0,537;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (2022 prices);Other power and storage technologies;..;..;..;0,066;0,087;0,145;59,021;32,898;1,27;1,132;0,444;0,488;0,526;0,625;1,051;0,862;0,589;1,18;0,079;0,019;0,119;0,124;0,133;0,275;..;..;2,958;3,089;3,281;..;..;2,628;2,427;..;..;..;0,788;0,29;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (2022 prices);Other cross-cutting technologies/research;..;..;..;0;0,029;0,024;0;0;1,885;1,458;0,036;0,045;0,761;2,277;0,577;0,628;1,38;2,301;1,232;1,775;0,712;1,729;2,837;1,428;..;..;0;0;0;..;..;3,225;2,773;..;..;..;3,043;1,646;..;..;..;..;..;..;..;..;..;..;..;..
Greece;National currency (2022 prices);Unallocated;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;0;0;0;..;..;0;0;..;..;..;0;0;..;..;..;..;..;..;..;..;..;..;..;..
