Country;Currency;Technology;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Australia;National currency (2022 prices);Total Budget;..;..;..;..;..;102,213;202,732;241,169;..;349,6;..;219,138;..;177,983;..;222,893;..;..;..;245,947;..;249,142;..;327,123;..;278,756;..;293,247;..;269,147;539,949;382,846;417,486;462,002;460,151;636,567;644,84;752,674;986,201;1210,082;391,184;355,086;213,272;246,615;280,923;354,316;266,603;395,035;589,597;..
Australia;USD (2022 prices and exchange rates);Energy efficiency;..;..;..;..;..;0;18,213;21,475;..;32,466;..;19,846;..;10,604;..;11,054;..;..;..;10,279;..;20,671;..;14,607;..;13,355;..;17,892;..;16,572;58,033;36,457;33,082;35,852;41,886;37,783;121,622;87,919;63,676;62,663;25,963;25,888;18,708;23,646;27,03;36,898;24,16;34,97;40,819;..
Australia;USD (2022 prices and exchange rates);Fossil fuels;..;..;..;..;..;47,917;69,985;80,54;..;112,286;..;77,656;..;66,253;..;73,859;..;..;..;104,412;..;89,55;..;163,529;..;126,239;..;123,7;..;101,709;64,629;60,925;70,808;74,69;68,974;288,313;206,514;232,858;351,118;285,417;136,106;56,618;36,891;57,103;58,531;54,555;38,754;34,785;96,291;..
Australia;USD (2022 prices and exchange rates);Renewables;..;..;..;..;..;22,976;33,593;41,603;..;32,767;..;21,238;..;2,057;..;9,386;..;..;..;16,894;..;7,95;..;11,786;..;19,062;..;20,233;..;19,796;46,425;32,99;42,365;51,116;44,018;85,074;90,506;175,633;228,436;452,592;82,468;133,128;48,968;57,605;54,671;60,412;32,567;46,498;57,253;..
Australia;USD (2022 prices and exchange rates);Nuclear;..;..;..;..;..;0;0;0;..;37,889;..;23,932;..;41,623;..;37,578;..;..;..;1,778;..;11,621;..;1,707;..;5,084;..;5,559;..;1,649;36,659;24,872;19,217;16,365;24,961;2,784;2,749;5,413;10,296;7,774;6,886;8,015;15,296;8,426;7,222;7,807;8,085;11,539;12,502;..
Australia;USD (2022 prices and exchange rates);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0,358;0;0,218;0,685;0,319;1,18;2,237;2,231;0,201;1,621;3,562;3,647;3,384;4,944;26,522;39,704;36,33;61,258;107,269;..
Australia;USD (2022 prices and exchange rates);Other power and storage technologies;..;..;..;..;..;0;6,543;7,261;..;12,554;..;8,756;..;2,117;..;19,413;..;..;..;12,737;..;10,031;..;9,337;..;16,768;..;10,777;..;7,677;11,512;13,6;14,433;14,413;13,723;16,436;12,705;10,584;16,864;21,023;9,375;14,762;16,284;14,269;16,726;31,477;16,982;45,504;45,528;..
Australia;USD (2022 prices and exchange rates);Other cross-cutting technologies/research;..;..;..;..;..;0;12,277;16,39;..;14,538;..;0,561;..;0,811;..;3,303;..;..;..;24,484;..;32,976;..;25,92;..;12,831;..;25,229;..;39,271;156,879;96,69;109,437;127,313;125,272;9,939;10,912;7,4;13,417;8,195;0,192;1,93;2,24;2,162;1,958;14,893;28,033;39,434;49,27;..
Australia;USD (2022 prices and exchange rates);Unallocated;..;..;..;..;..;0;0;0;..;0;..;0;..;0;..;0;..;..;..;0;..;0;..;0;..;0;..;0;..;0;0;0;0;0;0;0;0;0;0;0;6,765;2,291;6,149;2,891;2,181;0;0;0;0;..
Australia;USD (2022 prices and exchange rates);Total Budget;..;..;..;..;..;70,893;140,61;167,269;..;242,475;..;151,989;..;123,445;..;154,593;..;..;..;170,583;..;172,799;..;226,885;..;193,339;..;203,39;..;186,674;374,497;265,534;289,559;320,434;319,151;441,509;447,247;522,038;684,007;839,286;271,316;246,28;147,921;171,047;194,842;245,745;184,91;273,987;408,931;..
Australia;USD (2022 prices and PPP);Energy efficiency;..;..;..;..;..;0;17,46;20,587;..;31,123;..;19,025;..;10,165;..;10,597;..;..;..;9,854;..;19,816;..;14,003;..;12,802;..;17,152;..;15,887;55,633;34,949;31,714;34,37;40,154;36,22;116,592;84,283;61,042;60,072;24,889;24,818;17,935;22,668;25,912;35,372;23,161;33,524;39,13;..
Australia;USD (2022 prices and PPP);Fossil fuels;..;..;..;..;..;45,935;67,09;77,21;..;107,642;..;74,444;..;63,513;..;70,805;..;..;..;100,094;..;85,847;..;156,766;..;121,019;..;118,584;..;97,503;61,956;58,405;67,879;71,601;66,121;276,389;197,974;223,228;336,597;273,613;130,477;54,277;35,366;54,742;56,11;52,299;37,151;33,346;92,309;..
Australia;USD (2022 prices and PPP);Renewables;..;..;..;..;..;22,026;32,203;39,882;..;31,412;..;20,36;..;1,972;..;8,998;..;..;..;16,196;..;7,622;..;11,298;..;18,274;..;19,396;..;18,977;44,505;31,625;40,613;49,002;42,198;81,556;86,763;168,37;218,989;433,874;79,057;127,622;46,943;55,223;52,41;57,913;31,22;44,575;54,885;..
Australia;USD (2022 prices and PPP);Nuclear;..;..;..;..;..;0;0;0;..;36,322;..;22,942;..;39,902;..;36,024;..;..;..;1,704;..;11,14;..;1,636;..;4,874;..;5,329;..;1,58;35,143;23,844;18,422;15,688;23,928;2,669;2,636;5,189;9,87;7,453;6,601;7,683;14,663;8,078;6,924;7,484;7,75;11,061;11,985;..
Australia;USD (2022 prices and PPP);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0,343;0;0,209;0,657;0,306;1,131;2,145;2,138;0,192;1,554;3,414;3,496;3,244;4,74;25,425;38,062;34,828;58,724;102,832;..
